video_id,title,category_id,publish_time,views,likes,comment_count,region,language,publish_hour,like_ratio,comment_ratio,engagement_score,title_sentiment,viral
bbGlsJMWjY4,리니지클래식 싸다코? 의문을 풀어드리겠습니다. 전섭1등 케릭 샤워하고나온케릭 옷좀 입어보겠습니다. #조선협객전 #SOL #원큐 #oneq #리니지 2026/02/23,20,2026-02-23 20:09:31+00:00,156436,831,40,KR,ko,20,0.0053120765041294845,0.00025569561993403055,0.005567772124063515,0.0,0
wfIGKdBJM9Q,BOTH SIDES,10,2026-02-23 09:02:19+00:00,87899,3083,0,KR,de,9,0.03507434669336398,0.0,0.03507434669336398,0.0,0
_KUVCJtJbEA,감스트 4년만에 나간 롤 대회 증명했습니다...,20,2026-02-23 11:38:24+00:00,267006,4954,328,KR,ko,11,0.01855389017475263,0.001228436814153989,0.019782326988906616,0.0,0
Geh1ZEjkaeM,"ITZY ""THAT'S A NO NO"" (FULL CAM VER.) @ 'TUNNEL VISION' in SEOUL",24,2026-02-23 11:00:11+00:00,317975,31716,1179,KR,en,11,0.09974369054170926,0.0037078386665618367,0.1034515292082711,-0.175,0
CLv_LnvjxRg,그걸 왜 강지누나한테 물어보냐고,20,2026-02-23 10:00:15+00:00,275038,6556,322,KR,ko,10,0.023836706200597736,0.0011707473149164844,0.02500745351551422,0.0,0
sWkLpvCHx_w,NMIXX(엔믹스) “TIC TIC (Feat. Pabllo Vittar)” | Brazil Carnival🇧🇷 | Stage Recap,24,2026-02-24 03:00:52+00:00,108595,17456,887,KR,it,3,0.16074404898936415,0.0081679635342327,0.16891201252359686,0.0,0
mjUEh3hI9IE,T1 vs DK | 2026 LCK CUP Playoffs,20,2026-02-22 13:46:57+00:00,2066480,10558,280,KR,en,13,0.0051091711509426655,0.00013549610932600363,0.005244667260268669,0.0,1
bybgHKnJEzQ,woo ah (feat. pH-1),10,2026-02-21 09:02:20+00:00,31471,706,7,KR,so,9,0.02243335133932827,0.00022242699628229162,0.02265577833561056,0.0,0
sNzj_1-uL-A,"혜안, 발로란트 2년만에 접속했습니다.",20,2026-02-23 10:27:00+00:00,324269,19470,2419,KR,ko,10,0.0600427422911225,0.007459855860412189,0.06750259815153468,0.0,0
VkajLZ-JdK8,ThunderZ - Tengri: MONGOL (Official Music Video),10,2026-02-22 09:00:06+00:00,733097,60093,2446,KR,en,9,0.08197141715216404,0.003336529818018625,0.08530794697018267,0.0,0
KCjxcbwPYzc,이걸 들어가?,20,2026-02-22 13:02:27+00:00,428847,2239,290,KR,ko,13,0.005220976245607408,0.000676231849587382,0.00589720809519479,0.0,0
RWKlWyjpOzU,In Your Spring (너의 봄에),10,2026-02-21 09:02:46+00:00,27272,664,19,KR,en,9,0.02434731592842476,0.0006966852449398651,0.025044001173364625,0.0,0
WrrNNEbWoOU,[빅보스 2. 24 ] 리니지 클래식 : 7마투 / 7보망 추가 나도 곧 all 7셋,20,2026-02-24 00:46:24+00:00,145366,1517,8,KR,ko,0,0.010435727749267366,5.503350164412586e-05,0.010490761250911492,0.0,0
7wHqkJO6yZs,For You,10,2026-02-19 09:00:07+00:00,148800,1064,14,KR,en,9,0.007150537634408602,9.408602150537634e-05,0.007244623655913979,0.0,0
5kRt4XafiMs,[ 2 . 24 live ] 리니지 클래식 :  지금이 스펙업의 적기인가?,20,2026-02-24 08:08:37+00:00,48649,1233,12,KR,ko,8,0.025344816954099778,0.00024666488519805137,0.02559148183929783,0.13636363636363635,0
ggJZp2tbfcI,"[최신가요연속듣기 2026] KPOP 노동요 플레이리스트 🎀 2026년 2월 24일 4주차, 멜론차트 X, 종합차트 노래모음",10,2026-02-23 23:01:02+00:00,3151,55,5,KR,ko,23,0.017454776261504285,0.0015867978419549348,0.01904157410345922,0.0,0
txddubtSIFQ,"전섭 최초! 황홀한악몽 23성 [팡이요,  메이플스토리]",20,2026-02-23 09:01:13+00:00,226222,1037,215,KR,ko,9,0.0045839927151205455,0.0009503938608977023,0.0055343865760182475,0.0,0
7H787_DXmD0,단연코 1위 공포게임 5,20,2026-02-22 02:30:12+00:00,444960,8561,993,KR,ko,2,0.019239931679252066,0.002231661272923409,0.021471592952175475,0.0,0
FArpyfk3yus,오랜만에 챌큐에서 합 맞춰보는 프제짱과 저신..ㄷㄷ,20,2026-02-23 10:00:17+00:00,146182,744,87,KR,ko,10,0.00508954590852499,0.0005951485134968738,0.005684694422021863,0.0,0
_uhNnkE6AcU,시리우스를 무료로 얻는 방법이 2가지라고!? 어떻게 얻을 수 있을까? [브롤스타즈 2월 업데이트 미리보기#2],20,2026-02-23 22:30:11+00:00,114595,1817,704,KR,ko,22,0.01585584013264104,0.006143374492778917,0.02199921462541996,0.0,0
mjSFlvw1rSY,26.02.23(월) 【 인피쉰 생방송 다시보기 】 스타 빨무 스타크래프트 Starcraft,20,2026-02-23 16:39:48+00:00,160994,3908,4,KR,ko,16,0.02427419655390884,2.4845646421605775e-05,0.024299042200330447,0.0,0
WKKSTTKjEN8,이럽피 시작합니다.｜리니지 클래식,20,2026-02-23 03:00:38+00:00,120825,784,267,KR,ko,3,0.00648872336023174,0.0022098075729360647,0.008698530933167805,0.0,0
bgQ_TyLylqY,🔥보는 사람도 숨 막히는 수준입니다🔥,20,2026-02-23 16:17:37+00:00,127972,1021,230,KR,ko,16,0.007978307754821367,0.0017972681524083393,0.009775575907229706,0.0,0
e2ChtlzT7Js,"""피넛한테 배우고 점수가 더 떨어진 기적의 사나이"" 느리게 걷는 게 아니라 거꾸로 걷는 이상호..!",20,2026-02-23 13:39:09+00:00,141898,889,167,KR,ko,13,0.006265063637260568,0.0011769017181355622,0.007441965355396129,0.0,0
B0I9kMRifys,돈 주니까 만만해 보이냐? 흑우 취급에 폭발한 던파 유저들,20,2026-02-23 13:56:04+00:00,153809,2634,1991,KR,ko,13,0.017125135720276446,0.012944626127209721,0.03006976184748617,0.0,0
yX9hjlJAS8w,강타의 신 | T1 vs DK 게임 5 하이라이트 | 2026 LCK CUP 플레이오프,20,2026-02-23 13:00:00+00:00,100338,0,823,KR,ko,13,0.0,0.008202276306085431,0.008202276306085431,0.0,0
y7lb6QUgNao,전 프로도 처음 보는 피넛식 오더 (롤CK),20,2026-02-23 12:01:36+00:00,95848,768,108,KR,ko,12,0.00801268675402721,0.0011267840747850764,0.009139470828812286,0.0,0
q4Qklj6HWC4,체력 1만 4천 허수아비를 흡수한 공룡,20,2026-02-23 11:01:26+00:00,132757,1149,84,KR,ko,11,0.008654910852158455,0.000632734997024639,0.009287645849183094,0.0,0
j7tUCKIUUCw,날 몰카하려는 타코 역몰카로 참교육하기 ㅋㅋㅋ,20,2026-02-23 05:00:56+00:00,184010,3313,539,KR,ko,5,0.018004456279550024,0.0029291886310526603,0.020933644910602685,0.0,0
_a6WALv6W0k,리니지클래식 오랫만에 뵙습니다. 개떨리네?,20,2026-02-22 13:53:49+00:00,197250,4464,0,KR,ko,13,0.022631178707224333,0.0,0.022631178707224333,0.0,0
9KGAHyKj6x4,팔협지는 완전히 멘탈이 나가버렸습니다,20,2026-02-23 09:00:13+00:00,130120,860,97,KR,ko,9,0.0066092837380879186,0.0007454657239471257,0.007354749462035045,0.0,0
25yJ6mWt85Y,음주 방송 중 정신 못차리고 발라 버렸습니다 [리니지 클래식],20,2026-02-22 07:56:16+00:00,200933,1370,300,KR,ko,7,0.006818193129052968,0.0014930349917634236,0.008311228120816392,0.0,0
Wzes77QUx54,끝난 게 아니다│T1 vs DK│2026 LCK CUP│울챔스 하이라이트,20,2026-02-23 01:21:20+00:00,105756,1075,238,KR,ko,1,0.010164907901206551,0.0022504633306857295,0.012415371231892281,0.0,0
vU9S4etl5Rw,프로토타입은 엘리엇의 아들이었다? | 파피 챕터 5 추가 해석,20,2026-02-22 02:19:01+00:00,343756,5570,865,KR,ko,2,0.01620335354146546,0.0025163197151467902,0.018719673256612248,0.0,0
